"","modstr","Group","plotid","theta","Ntot","median.peak.time","LIQR.peak.time","UIQR.peak.time","median.peak.I.prop","LIQR.peak.I.prop","UIQR.peak.I.prop"
"62","SEIRns","x homogenous","DLIS002",10,2880,28,26,30,0.165,0.161,0.168
"63","SEIRns","x homogenous","DLIS002",10,4320,23,22,24,0.178,0.175,0.181
"64","SEIRns","x homogenous","DTOW005",0.1,288,41.5,26,65.5,0.017,0.014,0.024
"65","SEIRns","x homogenous","DTOW005",0.1,2880,28,26,30,0.165,0.161,0.168
"66","SEIRns","x homogenous","DTOW005",0.1,4320,23,22,25,0.178,0.174,0.181
"67","SEIRns","x homogenous","DTOW005",0.5,288,40,24.75,59,0.017,0.014,0.024
"68","SEIRns","x homogenous","DTOW005",0.5,2880,28,26,30,0.165,0.161,0.168
"69","SEIRns","x homogenous","DTOW005",0.5,4320,23,22,24,0.178,0.174,0.181
"70","SEIRns","x homogenous","DTOW005",1,288,41,22.75,68,0.017,0.014,0.028
"71","SEIRns","x homogenous","DTOW005",1,2880,28,26,30,0.164,0.16,0.169
"72","SEIRns","x homogenous","DTOW005",1,4320,23,21,25,0.178,0.174,0.181
"73","SEIRns","x homogenous","DTOW005",2,288,40,25,65.5,0.021,0.017,0.024
"74","SEIRns","x homogenous","DTOW005",2,2880,28,26,30,0.165,0.161,0.168
"75","SEIRns","x homogenous","DTOW005",2,4320,23,22,24,0.178,0.175,0.181
"76","SEIRns","x homogenous","DTOW005",10,288,40.5,23.25,61.5,0.017,0.014,0.024
"77","SEIRns","x homogenous","DTOW005",10,2880,28,26,30,0.164,0.16,0.168
"78","SEIRns","x homogenous","DTOW005",10,4320,23,21,24,0.178,0.175,0.181
