"","modstr","Group","plotid","theta","Ntot","LIQR","UIQR","LIQR.time","UIQR.time","duration"
"62","SEIRns","x homogenous","DLIS002",10,2880,0.0010416667,0.0631944444,22,67,45
"63","SEIRns","x homogenous","DLIS002",10,4320,0.0009259259,0.0622685185,21,65,44
"64","SEIRns","x homogenous","DTOW005",0.1,288,0.0034722222,0.0104166667,27,91,64
"65","SEIRns","x homogenous","DTOW005",0.1,2880,0.0013888889,0.0642361111,22,67,45
"66","SEIRns","x homogenous","DTOW005",0.1,4320,0.0009259259,0.0622685185,22,66,44
"67","SEIRns","x homogenous","DTOW005",0.5,288,0.0034722222,0.0104166667,27,94,67
"68","SEIRns","x homogenous","DTOW005",0.5,2880,0.0013888889,0.0631944444,22,67,45
"69","SEIRns","x homogenous","DTOW005",0.5,4320,0.0009259259,0.0627314815,22,66,44
"70","SEIRns","x homogenous","DTOW005",1,288,0.0034722222,0.0104166667,27,92,65
"71","SEIRns","x homogenous","DTOW005",1,2880,0.0013888889,0.0638888889,22,67,45
"72","SEIRns","x homogenous","DTOW005",1,4320,0.0009259259,0.0625,22,66,44
"73","SEIRns","x homogenous","DTOW005",2,288,0.0034722222,0.0104166667,27,93,66
"74","SEIRns","x homogenous","DTOW005",2,2880,0.0013888889,0.0642361111,22,67,45
"75","SEIRns","x homogenous","DTOW005",2,4320,0.0009259259,0.0627314815,21,65,44
"76","SEIRns","x homogenous","DTOW005",10,288,0.0034722222,0.0104166667,24,82,58
"77","SEIRns","x homogenous","DTOW005",10,2880,0.0010416667,0.0631944444,22,67,45
"78","SEIRns","x homogenous","DTOW005",10,4320,0.0009259259,0.0622685185,22,66,44
