"","modstr","Group","plotid","theta","Ntot","median.peak.time","LIQR.peak.time","UIQR.peak.time","median.peak.I.prop","LIQR.peak.I.prop","UIQR.peak.I.prop"
"64","SIRns","x homogenous","DLIS002",10,4320,5,5,6,0.373,0.369,0.377
"65","SIRns","x homogenous","DTOW005",0.1,288,24,16.5,36.5,0.031,0.024,0.042
"66","SIRns","x homogenous","DTOW005",0.1,2880,8,7,8,0.334,0.329,0.339
"67","SIRns","x homogenous","DTOW005",0.1,4320,5,5,6,0.373,0.369,0.377
"68","SIRns","x homogenous","DTOW005",0.5,288,24,15.5,41,0.031,0.024,0.038
"69","SIRns","x homogenous","DTOW005",0.5,2880,8,7,8,0.333,0.328,0.338
"70","SIRns","x homogenous","DTOW005",0.5,4320,5,5,6,0.374,0.37,0.378
"71","SIRns","x homogenous","DTOW005",1,288,23,15,37.25,0.028,0.024,0.045
"72","SIRns","x homogenous","DTOW005",1,2880,8,7,9,0.333,0.328,0.338
"73","SIRns","x homogenous","DTOW005",1,4320,5,5,6,0.374,0.37,0.378
"74","SIRns","x homogenous","DTOW005",2,288,22,14,36,0.031,0.021,0.043
"75","SIRns","x homogenous","DTOW005",2,2880,8,7,8,0.333,0.327,0.338
"76","SIRns","x homogenous","DTOW005",2,4320,5,5,6,0.373,0.369,0.377
"77","SIRns","x homogenous","DTOW005",10,288,30,19.5,42.5,0.033,0.024,0.042
"78","SIRns","x homogenous","DTOW005",10,2880,8,7,8,0.333,0.328,0.338
"79","SIRns","x homogenous","DTOW005",10,4320,5,5,6,0.373,0.369,0.377
