row,N,Data,radius,theta,R0roost,gamma,nsims,threshold,modstr,site,subplot,n,Ntot,id,plotid,Beta
49,9,1,3,1,0.350419783,0.142857143,500,10,SIR,DCLU,4,32,288,49,DCLU004,0.000992063
50,90,1,3,1,3.504197832,0.142857143,500,10,SIR,DCLU,4,32,2880,50,DCLU004,0.000992063
51,135,1,3,1,5.256296748,0.142857143,500,10,SIR,DCLU,4,32,4320,51,DCLU004,0.000992063
52,4,2,3,1,0.307608764,0.142857143,500,10,SIR,DLIS,2,72,288,52,DLIS002,0.000992063
53,40,2,3,1,3.076087637,0.142857143,500,10,SIR,DLIS,2,72,2880,53,DLIS002,0.000992063
54,60,2,3,1,4.614131455,0.142857143,500,10,SIR,DLIS,2,72,4320,54,DLIS002,0.000992063
55,72,3,3,1,0.638743823,0.142857143,500,10,SIR,DTOW,5,4,288,55,DTOW005,0.000992063
56,720,3,3,1,6.387438229,0.142857143,500,10,SIR,DTOW,5,4,2880,56,DTOW005,0.000992063
57,1080,3,3,1,9.581157343,0.142857143,500,10,SIR,DTOW,5,4,4320,57,DTOW005,0.000992063
58,9,1,3,2,0.4940959,0.142857143,500,10,SIR,DCLU,4,32,288,58,DCLU004,0.000992063
59,90,1,3,2,4.940958998,0.142857143,500,10,SIR,DCLU,4,32,2880,59,DCLU004,0.000992063
60,135,1,3,2,7.411438497,0.142857143,500,10,SIR,DCLU,4,32,4320,60,DCLU004,0.000992063
61,4,2,3,2,0.451797375,0.142857143,500,10,SIR,DLIS,2,72,288,61,DLIS002,0.000992063
62,40,2,3,2,4.517973753,0.142857143,500,10,SIR,DLIS,2,72,2880,62,DLIS002,0.000992063
63,60,2,3,2,6.776960629,0.142857143,500,10,SIR,DLIS,2,72,4320,63,DLIS002,0.000992063
64,72,3,3,2,0.751558632,0.142857143,500,10,SIR,DTOW,5,4,288,64,DTOW005,0.000992063
65,720,3,3,2,7.515586323,0.142857143,500,10,SIR,DTOW,5,4,2880,65,DTOW005,0.000992063
66,1080,3,3,2,11.27337948,0.142857143,500,10,SIR,DTOW,5,4,4320,66,DTOW005,0.000992063
67,9,1,3,10,1.085002952,0.142857143,500,10,SIR,DCLU,4,32,288,67,DCLU004,0.000992063
68,90,1,3,10,10.85002952,0.142857143,500,10,SIR,DCLU,4,32,2880,68,DCLU004,0.000992063
69,135,1,3,10,16.27504428,0.142857143,500,10,SIR,DCLU,4,32,4320,69,DCLU004,0.000992063
70,4,2,3,10,1.051930086,0.142857143,500,10,SIR,DLIS,2,72,288,70,DLIS002,0.000992063
71,40,2,3,10,10.51930086,0.142857143,500,10,SIR,DLIS,2,72,2880,71,DLIS002,0.000992063
72,60,2,3,10,15.77895129,0.142857143,500,10,SIR,DLIS,2,72,4320,72,DLIS002,0.000992063
73,72,3,3,10,1.236537549,0.142857143,500,10,SIR,DTOW,5,4,288,73,DTOW005,0.000992063
74,720,3,3,10,12.36537549,0.142857143,500,10,SIR,DTOW,5,4,2880,74,DTOW005,0.000992063
75,1080,3,3,10,18.54806324,0.142857143,500,10,SIR,DTOW,5,4,4320,75,DTOW005,0.000992063
76,9,1,3,0.1,2,0.142857143,500,10,SIRns,DCLU,4,32,288,76,DCLU004,0.000992063
77,90,1,3,0.1,20,0.142857143,500,10,SIRns,DCLU,4,32,2880,77,DCLU004,0.000992063
78,135,1,3,0.1,30,0.142857143,500,10,SIRns,DCLU,4,32,4320,78,DCLU004,0.000992063
79,4,2,3,0.1,2,0.142857143,500,10,SIRns,DLIS,2,72,288,79,DLIS002,0.000992063
80,40,2,3,0.1,20,0.142857143,500,10,SIRns,DLIS,2,72,2880,80,DLIS002,0.000992063
81,60,2,3,0.1,30,0.142857143,500,10,SIRns,DLIS,2,72,4320,81,DLIS002,0.000992063
82,72,3,3,0.1,2,0.142857143,500,10,SIRns,DTOW,5,4,288,82,DTOW005,0.000992063
83,720,3,3,0.1,20,0.142857143,500,10,SIRns,DTOW,5,4,2880,83,DTOW005,0.000992063
