"","modstr","Group","plotid","theta","Ntot","LIQR","UIQR","LIQR.time","UIQR.time","duration"
"63","SIRns","x homogenous","DLIS002",10,2880,0.0013888889,0.0684027778,15,46,31
"64","SIRns","x homogenous","DLIS002",10,4320,0.0009259259,0.0597222222,15,47,32
"65","SIRns","x homogenous","DTOW005",0.1,288,0.0069444444,0.0173611111,16,51,35
"66","SIRns","x homogenous","DTOW005",0.1,2880,0.0010416667,0.0666666667,15,47,32
"67","SIRns","x homogenous","DTOW005",0.1,4320,0.0009259259,0.0604166667,15,47,32
"68","SIRns","x homogenous","DTOW005",0.5,288,0.0069444444,0.0173611111,17,60,43
"69","SIRns","x homogenous","DTOW005",0.5,2880,0.0010416667,0.0673611111,15,46,31
"70","SIRns","x homogenous","DTOW005",0.5,4320,0.0009259259,0.0597222222,15,47,32
"71","SIRns","x homogenous","DTOW005",1,288,0.0069444444,0.0173611111,16,56,40
"72","SIRns","x homogenous","DTOW005",1,2880,0.0013888889,0.0680555556,15,46,31
"73","SIRns","x homogenous","DTOW005",1,4320,0.0009259259,0.0625,15,46,31
"74","SIRns","x homogenous","DTOW005",2,288,0.0069444444,0.0208333333,15,48,33
"75","SIRns","x homogenous","DTOW005",2,2880,0.0010416667,0.0667534722,15,47,32
"76","SIRns","x homogenous","DTOW005",2,4320,0.0009259259,0.0583333333,16,48,32
"77","SIRns","x homogenous","DTOW005",10,288,0.0069444444,0.0173611111,17,57,40
"78","SIRns","x homogenous","DTOW005",10,2880,0.0013888889,0.0670138889,15,47,32
"79","SIRns","x homogenous","DTOW005",10,4320,0.0009259259,0.0604166667,15,47,32
