"","modstr","structure","R0roost","Beta","theta","Ntot","nsims","count.n","mininf","average.ext.time","median.ext.time","LIQR.ext.time","UIQR.ext.time","prop.success"
"55","SIRns","intermediate",20,0.000992,0.1,2880,500,458,1393,61.7991266375546,60,55,67,0.916
"56","SIRns","intermediate",20,0.000992,0.5,2880,500,458,1394,61.6637554585153,60,56,66,0.916
"57","SIRns","intermediate",20,0.000992,1,2880,500,448,1393,61.9553571428571,61,55,67,0.896
"58","SIRns","intermediate",20,0.000992,2,2880,500,445,1393,61.4224719101124,60,56,66,0.89
"59","SIRns","intermediate",20,0.000992,10,2880,500,454,1394,62.125550660793,60.5,56,67,0.908
"60","SIRns","intermediate",30,0.000992,0.1,4320,500,459,2108,62.0174291938998,61,56,67,0.918
"61","SIRns","intermediate",30,0.000992,0.5,4320,500,476,2107,62.3172268907563,61,56,67,0.952
"62","SIRns","intermediate",30,0.000992,1,4320,500,461,2108,61.8893709327549,61,56,66,0.922
"63","SIRns","intermediate",30,0.000992,2,4320,500,460,2108,61.945652173913,60,55,66,0.92
"64","SIRns","intermediate",30,0.000992,10,4320,500,460,2108,62.8239130434783,61.5,56,68,0.92
"65","SIRns","sparse",2,0.000992,0.1,288,500,63,11,63.0952380952381,63,47.5,76.5,0.126
"66","SIRns","sparse",2,0.000992,0.5,288,500,63,11,69.5873015873016,64,46,91,0.126
"67","SIRns","sparse",2,0.000992,1,288,500,68,11,65.5441176470588,60,39.75,80.5,0.136
"68","SIRns","sparse",2,0.000992,2,288,500,59,11,59.8813559322034,55,42.5,73.5,0.118
"69","SIRns","sparse",2,0.000992,10,288,500,66,11,68.8030303030303,64,47.25,82.25,0.132
"70","SIRns","sparse",20,0.000992,0.1,2880,500,438,1079,61.8493150684931,60.5,55,66,0.876
"71","SIRns","sparse",20,0.000992,0.5,2880,500,453,1078,61.4988962472406,60,55,66,0.906
"72","SIRns","sparse",20,0.000992,1,2880,500,451,1079,61.4212860310421,60,55,66,0.902
"73","SIRns","sparse",20,0.000992,2,2880,500,441,1079,61.8208616780045,60,55,66,0.882
"74","SIRns","sparse",20,0.000992,10,2880,500,451,1079,61.9645232815964,60,56,66,0.902
"75","SIRns","sparse",30,0.000992,0.1,4320,500,472,1620,62.228813559322,61,56,67,0.944
"76","SIRns","sparse",30,0.000992,0.5,4320,500,464,1619,62.7931034482759,61,57,68,0.928
"77","SIRns","sparse",30,0.000992,1,4320,500,470,1620,61.2829787234043,60,55,65,0.94
"78","SIRns","sparse",30,0.000992,2,4320,500,469,1620,63.5351812366738,62,57,68,0.938
"79","SIRns","sparse",30,0.000992,10,4320,500,470,1619,62.536170212766,61,56,67,0.94
